id1,group,id3
GroEL_3300017967_____Ga0181590_10005110_10,KS_soil,KS_soil
GroEL_3300018080_____Ga0180433_10004577_18,KS_soil,KS_soil
GroEL_3300018080_____Ga0180433_10006029_9,KS_soil,KS_soil
GroEL_3300018428_____Ga0181568_10001576_12,KS_soil,KS_soil
GroEL_3300019708_____Ga0194016_1000002_2,KS_soil,KS_soil
GroEL_3300020039_____Ga0207352_1115_103,KS_soil,KS_soil
GroEL_3300020297_____Ga0211490_1001720_5,KS_soil,KS_soil
GroEL_3300020371_____Ga0211500_1000211_18,KS_soil,KS_soil
GroEL_3300020371_____Ga0211500_1001408_4,KS_soil,KS_soil
GroEL_3300020417_____Ga0211528_10000299_10,KS_soil,KS_soil
GroEL_3300020456_____Ga0211551_10000007_64,KS_soil,KS_soil
GroEL_3300020461_____Ga0211535_10000085_27,KS_soil,KS_soil
GroEL_3300021514_____Ga0190293_1000001_225,KS_soil,KS_soil
GroEL_3300022843_____Ga0222631_1000203_23,KS_soil,KS_soil
GroEL_3300022843_____Ga0222631_1000419_8,KS_soil,KS_soil
GroEL_3300027396_____Ga0255146_1000004_20,KS_soil,KS_soil
GroEL_3300027616_____Ga0209106_1000002_33,KS_soil,KS_soil
GroEL_3300028194_____Ga0257106_1000952_5,KS_soil,KS_soil
GroEL_7000000498_____SRS017521_Baylor_scaffold_47341_15,KS_soil,KS_soil
GroEL_7000000736_____SRS014235_WUGC_scaffold_37409_46,KS_soil,KS_soil
GroEL_REF_2556921279_____2556949965_3,KS_soil,KS_soil
GroEL_REF_2588253662_____2588266452_139,KS_soil,KS_soil
GroEL_REF_2724679938_____2724820510_90,KS_soil,KS_soil
GroEL_REF_Bacilli_gi_507028124_1766_63644_9,KS_soil,KS_soil
GroEL_REF_Gammaproteobacteria_gi_483431109_44,KS_soil,KS_soil
GroEL_REF_Negativicutes_gi_312899164_59,KS_soil,KS_soil
KU595540.1_prot_AQM32706.1_1,Marine_V,Marine_V
KU595539.1_prot_AQM32705.1_1,Marine_V,Marine_V
KU595538.1_prot_AQM32704.1_1,Marine_V,Marine_V
KU595537.1_prot_AQM32703.1_1,Marine_V,Marine_V
KU595536.1_prot_AQM32702.1_1,Marine_V,Marine_V
KU595535.1_prot_AQM32701.1_1,Marine_V,Marine_V
KU595534.1_prot_AQM32700.1_1,Marine_V,Marine_V
KU595533.1_prot_AQM32699.1_1,Marine_V,Marine_V
KU595532.1_prot_AQM32698.1_1,Marine_V,Marine_V
KU595531.1_prot_AQM32697.1_1,Marine_V,Marine_V
KU595530.1_prot_AQM32696.1_1,Marine_V,Marine_V
KU595529.1_prot_AQM32695.1_1,Marine_V,Marine_V
KU595528.1_prot_AQM32694.1_1,Marine_V,Marine_V
KU595527.1_prot_AQM32693.1_1,Marine_V,Marine_V
KU595526.1_prot_AQM32692.1_1,Marine_V,Marine_V
KU595525.1_prot_AQM32691.1_1,Marine_V,Marine_V
KU595524.1_prot_AQM32690.1_1,Marine_V,Marine_V
KU595523.1_prot_AQM32689.1_1,Marine_V,Marine_V
KU595522.1_prot_AQM32688.1_1,Marine_V,Marine_V
KU595521.1_prot_AQM32687.1_1,Marine_V,Marine_V
KU595520.1_prot_AQM32686.1_1,Marine_V,Marine_V
KU595519.1_prot_AQM32685.1_1,Marine_V,Marine_V
KU595518.1_prot_AQM32684.1_1,Marine_V,Marine_V
KU595517.1_prot_AQM32683.1_1,Marine_V,Marine_V
KU595516.1_prot_AQM32682.1_1,Marine_V,Marine_V
KU595515.1_prot_AQM32681.1_1,Marine_V,Marine_V
KU595514.1_prot_AQM32680.1_1,Marine_V,Marine_V
KU595513.1_prot_AQM32679.1_1,Marine_V,Marine_V
KU595512.1_prot_AQM32678.1_1,Marine_V,Marine_V
KU595511.1_prot_AQM32677.1_1,Marine_V,Marine_V
KU595510.1_prot_AQM32676.1_1,Marine_V,Marine_V
KU595509.1_prot_AQM32675.1_1,Marine_V,Marine_V
KU595508.1_prot_AQM32674.1_1,Marine_V,Marine_V
KU595507.1_prot_AQM32673.1_1,Marine_V,Marine_V
