DNA_viral_contig,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3,C_wet_1,C_wet_2,C_wet_3,A_wet_1,A_wet_2,A_wet_3
VC_228,0,0.675758439,0,0,0,0,0,0,1.165648448,0,0,0
VC_229,0,0,0,0,0,0,1.205555646,0,0,0,0,0
VC_230,0,0,0,0,0,0,0,0,0,0,0,1.34387375
VC_231,0,0,4.10372272,0,0,0,5.72904841,0,0,0,0,0
VC_232,0,0,0,0,0,0,0.330737669,0,0,0,0,0.317230594
VC_233,0,0.90718617,0,0,0,0,0,0,0,0,0,0.944046429
VC_234,0,0,0,0,1.282776725,0,0,0,0,0,0,0
VC_235,0,0.447402572,0,0,0,0,0,0,0,0,0,0
VC_236,0,1.004042267,0,0,0,0,0,0,0,0,0,0
VC_237,0,0.333864637,0,0,0,0,0,0,0,0,0,0
VC_238,0,1.399601513,0,0,0,0,0,0,0,0,0,0
VC_239,0,6.462389587,0,0,0,0,0,0,0,0,0,0
VC_240,0,0,3.507372192,0,0,0,0,0,0,0,0,0
VC_241,0,0.462164474,0,0,0,0,0,0,0,0,0,0
VC_242,0,0,0,0.454310002,0,0,0,0,0,0,0,0.484793366
VC_243,0,0,0,0.641641976,0.778187661,0,0,0,0,0,0,0
VC_244,0,0,0,0,0,0,0.49905874,0,0,0,0,0
VC_245,0,0,0,0.825535003,0,0,0,0,0,0,0,0
VC_246,0,0,0,0,0,0.476442348,0,0,0,0,0,0
VC_247,0,0,0,0,0.367846268,0,0,0,0,0,0,0
VC_248,0,0,0,0,0,0,0.415414782,0,0,0,0,0
VC_249,0,0,0,0,0,0,0,0,0,0,1.869449048,0
VC_250,0,0,0,0,0,0,0,0,0,0,0,0.353214338
VC_251,0,0,0,0,0,1.222045581,0,0,0,0,0,0
VC_252,0,0,0,0,0,0.519598508,0,0,0,0.943342121,0,0
VC_253,0,4.035414341,0,1.311775278,1.590929793,3.456616311,0,2.534487205,0,3.137780146,0,0
VC_254,0,0.32945396,0,0,0,0,0,0,0,0,0,0
VC_255,0,0,0,0,1.040443031,0,0,0,0,0,0,0
VC_256,0,0,4.076491306,0,0,0,0,0,0,0,0,0
VC_257,0,0,0,0,0,0,0,0,0,0,0,0.462985464
VC_258,0,0,0,0,0,0,0,0,0,0,0,1.613304922
VC_259,0,0,0,0,1.098353046,0,0,0,0,0,0,0
VC_260,0,0,0,0.584801225,0.709250821,0,0,0,0,0,0,0
VC_261,0,0,0,0.584399714,0,0,0,0,0,0,0,0.623611858
VC_262,0,0,0,0,0,0,0,0,0,0,0,0.668044991
VC_263,0,0,0,0,0,0,0.911254187,0,0,0,0,0
VC_264,0,0,0,0,0,0,2.679296792,0,0,0,0,0
VC_265,0,0,0,0.726145078,0.880673586,0.956720622,1.615720966,2.805976663,1.284419665,8.684732999,0,0.774868074
VC_266,0,0,0,0,0.934115661,0,0,0,0,0,0,0
VC_267,0,0.698540611,0,0,0,0,0,0,0,0,0,0
VC_268,0,0,3.035798234,0,0,0,0,0,0,0,0,0
VC_269,0,0,0,0.411271696,0,0.541864325,0,0,0,0,0,0
VC_270,0,0,0,0,0,0,0,0,0,0,1.472977754,0
VC_271,0,0,0,0,0,1.373701981,1.159961978,0,0,4.987970216,0,0
VC_272,0,0,0,0,0.48309544,0,0,0,0,0,0,0
VC_273,0,0.360895801,0.841403144,0.35194467,0.853681678,0.927397936,0.783100236,0.679993957,0.622526639,0,1.977762692,0
VC_274,0,0,0,0.437132112,0,0,0,0,0,0,0,0
VC_275,0,0,0,0,0,0.643497894,0.543373381,1.887322204,0,0,0.914879562,0
VC_276,0,0,0,0,0,0.856972742,0,0,0,0,0,0
VC_277,0,0,0,0,0,0,0,0,0,0,0,1.103969214
VC_278,0,0,0,0,0,0,0,0,0.913026487,0,0,0
VC_279,0,0.502346183,0,0,0,0,0,0,0,0,0,0
VC_280,0,0,0.751938477,0.314523116,0.38145573,0.82878962,0,0.607691597,0,0,0,0
VC_281,0,0,0,0,0,0,0,3.432882735,0,0,0,0
VC_282,0,0,0,13.31699896,59.22013175,40.93972194,4.938534342,0,0,0,0,0
VC_283,0,0,0,0,4.728609536,0,0,0,0,0,0,0
VC_284,0,0,0,0,0,3.707292412,0,0,0,0,0,0
VC_285,0,0,9.451069974,0,0,0,0,0,0,0,0,0
VC_286,0,0,1.333890617,0,0.676677992,0,0.620731016,0,0,0,0,0
VC_287,0,0,0.813993751,0,0,0,0,0,0,0,0,0.363325351
VC_288,0,0,0,0,0,0,0,0,0,9.291623925,0,0
VC_289,0,0,0,0,0,2.626360549,0,0,0,0,0,0
VC_290,0,0,1.791709006,0.7494415,1.817855284,0,0,0,0,0,0,0
VC_291,0,0,0,0,0,0,0,0,1.612402331,0,0,0
VC_292,0,0,2.713470794,0,0,0,0,0,0,0,0,0
VC_293,0,0,0,0,0,5.074461333,0,0,0,0,0,0
VC_294,0,0,0,0.750329244,0.910004303,0,0.417383085,2.174572009,0,0,0,0
VC_295,0,0,0,2.733336867,3.315009154,0,0,7.921639587,2.417389947,0,0,0
VC_296,0,0,0,8.238869291,0,0,4.583007671,0,0,9.853730635,0,0
VC_297,0,0,0,1.159742054,0,0,0,0,0,0,0,0
VC_298,0,0,3.077986014,0,0,0,0,4.975051269,0,0,0,0
VC_299,0,0,0,0,0,0,2.930076071,0,0,0,0,0
VC_300,0,0,0,2.318496925,0,0,0,0,0,0,0,0
VC_301,0,0,2.758998056,0,1.399629956,1.520489388,1.283910123,0,6.123877,0,0,0
VC_302,0,0,0.955984969,0.399872304,0.484967793,0,0.889742402,0,0,0,0,0
VC_303,0,0,0,0,1.530488613,0,0,0,0,0,0,0
VC_304,0,0,0,0,0,1.249185135,0,0,0,0,0,0
VC_305,0,0,0,0,0,0,4.194746224,0,0,0,0,0
VC_306,0,3.944978502,0,0,0,0,0,0,0,0,0,0
VC_307,0,0,0,0,3.90473596,0,0,0,0,0,0,0
VC_308,0,0,5.065173625,2.11867625,0,0,2.357097598,0,3.747556133,0,0,0
VC_309,0,0,0,2.907525819,0,0,0,0,0,0,0,0
VC_310,0,0,0,0,0,0,0,0,0,5.704155749,0,0
VC_311,0,0,0,0,0,0,0,0,6.482586336,0,0,0
VC_312,0,0,0,0,0,0,0,0,0,4.361552213,3.415517702,0
VC_313,0,0,0,0,0,0,0,0,0,0,0,2.83508598
VC_314,0,0,0,0,4.122044699,0,0,0,0,0,0,0
VC_315,0,0,0,1.951124776,0,0,0,0,0,0,0,0
VC_316,0,0,0,0,3.411905208,0,0,0,0,0,0,0
VC_317,0,0,0,0,0,6.872192751,0,0,0,0,0,0
VC_318,0,0,0,0,0,0,0,0,0,0,0,4.058266052
VC_319,0,0,0.887285354,2.226818521,2.25058361,0.977969493,0.412901577,0,0,0,0,0
VC_320,0,0.998157665,0,0.973400825,1.180547002,0,0,0,0,0,0,0
VC_321,0,0,0,5.094968551,6.179211788,6.712792844,0,0,0,0,0,0
VC_322,0,0,0,2.194465185,0,0,0,0,0,0,0,0
VC_323,0,0,0,0,0,0,2.296366075,0,0,0,0,0
VC_324,0,0,0,0,0,2.320353714,0,0,0,0,0,0
VC_325,0,0,0,0,0,5.519315679,0,0,0,0,7.84697069,0
VC_326,0,0,0,0,0,0.787850506,0,0,0,0,0,0
VC_327,0,0,0,0,0,0,0,0,0,0,0,2.396545306
VC_328,0,0,0,0,0,0,0,0,0,0,3.248917692,0
VC_329,0,0,0,2.314163286,0,0,0,0,0,0,0,0
VC_330,0,0,0,0,0,4.52770509,0,0,0,0,0,0
